activity_id;activity_name;predecessor_ids;connection_types;measurement;volume;lags
25809398;Начало работ;;;-1;0.0;
25809830;Изготовление свай;25809398,25809398;FS,SS;шт;1496.0;-1,0.0
25809831;Бурение скважин;25809398,25809830;FS,FFS;шт;1496.0;-1,0.0
25809832;Засыпка пространства между сваями щебнем фракции 15-20 мм;25809398,25809833;FS,FFS;м3;82.8;-1,0.0
25809833;Погружение свай;25809398,25809831;FS,FFS;шт;1496.0;-1,0.0
25813507;Заполнение полости свай ЦПС;25809398,25809832;FS,SS;шт;1500.0;-1,0.0
25809836;Срезка свай, монтаж оголовков;25809398,25813507;FS,FFS;шт;1496.0;-1,0.0
25809837;Монтаж деформационных марок;25809836,25809836;FS,SS;шт;100.0;-1,0.0
25809838;Монтаж траверс;25809836,25809837;FS,SS;шт;945.0;-1,0.0
25809839;Монтаж м/к (связи, стойки, упоры, подкосы);25809836,25809838;FS,SS;тн;148.6;-1,0.0
25809834;Устройство термометрических скважин;25813507,25809839;FS,FFS;шт;11.0;-1,0.0
25809835;Монтаж термометрических трубок;25813507,25809834;FS,SS;шт;59.0;-1,0.0
25809400;Начало работ;25809838,25809835;FS,SS;-1;0.0;-1,0.0
25809847;Монтаж опор DN 500 (неподвижная, направляющая, скользящая);25809400,25809400;FS,SS;шт;84.0;-1,0.0
25809850;Сварка газопровода 530х24 мм;25809400,25809847;FS,SS;стык;203.0;-1,0.0
25809852;Надземная прокладка газопровода 530х24 мм;25809400,25809850;FS,SS;м;1267.12;-1,0.0
25809842;Устройство песчанной подушки;25809839,25809852;FS,FFS;м3;144.47;-1,0.0
25809843;Укладка габионов;25809842,25809842;FS,SS;шт;92.0;-1,0.0
25809844;Заполнение габионов щебнем фракции 70-120мм;25809843,25809843;FS,SS;м3;247.97;-1,0.0
25809399;Окончание работ;25809844,25809832,25809830,25809831,25813507,25809833,25809844;FS,FS,FS,FS,FS,FS,FFS;-1;0.0;-1,-1,-1,-1,-1,-1,0.0
25809848;Монтаж опор метанолопровода;25809847,25809399;FS,SS;шт;238.0;-1,0.0
25809853;Сварка метанолопровода 57х6мм;25809850,25809848;FS,SS;стык;121.0;-1,0.0
25809854;Надземная прокладка метанолопровода 57х6мм;25809852,25809853;FS,SS;м;1200.17;-1,0.0
25809856;Монтаж заземления;25809852,25809854;FS,FFS;%;100.0;-1,0.0
25809401;Окончание работ;25809848,25809853,25809854,25809856;FS,FS,FS,SS;-1;0.0;-1,-1,-1,0.0
25809840;Монтаж термостабилизаторов;25809401;SS;шт;81.0;0.0
25809841;АКЗ свай и металлоконструкций;25809839,25809838,25809844,25809840;FS,FS,FS,SS;м2;11017.0;-1,-1,-1,0.0
25809857;Очистка полости трубопроводов;25809856,25809854,25809841;FS,FS,SS;%;100.0;-1,-1,0.0
25809858;Гидроиспытания трубопроводов;25809857,25809857;FS,SS;%;100.0;-1,0.0
25809855;Изоляция сварных соединений газопровода;25809858,25809858;FS,SS;стык;203.0;-1,0.0
